UN Region Code,UN Region Name,UN Sub Region Code,UN Sub Region Name,UN Region ID
2,Africa,14,Eastern Africa,14
2,Africa,17,Middle Africa,17
2,Africa,15,Northern Africa,15
2,Africa,18,Southern Africa,18
2,Africa,11,Western Africa,11
19,Americas,29,Caribbean,29
19,Americas,13,Central America,13
19,Americas,21,Northern America,21
19,Americas,5,South America,5
142,Asia,143,Central Asia,143
142,Asia,30,Eastern Asia,30
142,Asia,35,South-Eastern Asia,35
142,Asia,34,Southern Asia,34
142,Asia,145,Western Asia,145
150,Europe,151,Eastern Europe,151
150,Europe,154,Northern Europe,154
150,Europe,39,Southern Europe,39
150,Europe,155,Western Europe,155
9,Oceania,53,Australia and New Zealand,53
9,Oceania,54,Melanesia,54
9,Oceania,57,Micronesia,57
9,Oceania,61,Polynesia,61
